1537903312.525	 0	 -0.049576	 -0.245590	 -0.911514	 1
1537903312.535	 0	 -0.043320	 -0.248261	 -0.916718	 1
1537903312.545	 0	 -0.029968	 -0.256927	 -0.923889	 1
1537903312.565	 0	 -0.010254	 -0.282150	 -0.932770	 1
1537903312.555	 0	 -0.014084	 -0.268829	 -0.929428	 1
1537903312.575	 0	 -0.017761	 -0.292496	 -0.935822	 1
1537903312.585	 0	 -0.022812	 -0.295212	 -0.938950	 1
1537903312.595	 0	 -0.018448	 -0.292068	 -0.944855	 1
1537903312.605	 0	 -0.008423	 -0.291122	 -0.956314	 1
1537903312.615	 0	 -0.004898	 -0.294128	 -0.972885	 1
1537903312.625	 0	 -0.017197	 -0.289413	 -0.980042	 1
1537903312.635	 0	 -0.028320	 -0.275314	 -0.992126	 1
1537903312.645	 0	 -0.024277	 -0.257523	 -1.015106	 1
1537903312.655	 0	 -0.012146	 -0.239838	 -1.033020	 1
1537903312.665	 0	 0.000916	 -0.220428	 -1.035797	 1
1537903312.675	 0	 0.009003	 -0.205566	 -1.040100	 1
1537903312.685	 0	 0.007996	 -0.204987	 -1.051071	 1
1537903312.695	 0	 0.004547	 -0.209641	 -1.048141	 1
1537903312.705	 0	 0.000534	 -0.206497	 -1.030075	 1
1537903312.715	 0	 -0.000992	 -0.202347	 -1.014313	 1
1537903312.725	 0	 0.006027	 -0.210617	 -0.995193	 1
1537903312.735	 0	 0.015457	 -0.228119	 -0.965363	 1
1537903312.745	 0	 0.023346	 -0.242538	 -0.935455	 1
1537903312.755	 0	 0.023132	 -0.258224	 -0.918015	 1
1537903312.765	 0	 0.015564	 -0.275528	 -0.895798	 1
1537903312.775	 0	 0.017853	 -0.282791	 -0.878738	 1
1537903312.785	 0	 0.027573	 -0.284256	 -0.868576	 1
1537903312.795	 0	 0.034500	 -0.286346	 -0.859711	 1
1537903312.804	 0	 0.036163	 -0.288742	 -0.859680	 1
1537903312.814	 0	 0.033264	 -0.292709	 -0.863510	 1
1537903312.824	 0	 0.033783	 -0.292816	 -0.871979	 1
1537903312.834	 0	 0.033142	 -0.295074	 -0.880142	 1
1537903312.844	 0	 0.027939	 -0.296982	 -0.877930	 1
1537903312.854	 0	 0.027939	 -0.289703	 -0.875351	 1
1537903312.864	 0	 0.026642	 -0.283081	 -0.877762	 1
1537903312.874	 0	 0.025528	 -0.282684	 -0.875717	 1
1537903312.884	 0	 0.026276	 -0.286240	 -0.882050	 1
1537903312.894	 0	 0.022430	 -0.286896	 -0.889862	 1
1537903312.904	 0	 0.018906	 -0.278427	 -0.893051	 1
1537903312.914	 0	 0.018372	 -0.268143	 -0.896530	 1
1537903312.924	 0	 0.020157	 -0.265335	 -0.900146	 1
1537903312.934	 0	 0.027252	 -0.275574	 -0.904465	 1
1537903312.944	 0	 0.030182	 -0.287445	 -0.910355	 1
1537903312.954	 0	 0.029755	 -0.286026	 -0.908859	 1
1537903312.964	 0	 0.033722	 -0.277893	 -0.909637	 1
1537903312.974	 0	 0.039627	 -0.271530	 -0.915970	 1
1537903312.984	 0	 0.043671	 -0.268433	 -0.918793	 1
